Date,X,Y,S3 OLCI Chl-a (Reference),L8 Ch-a Estimates
7/1/2010,34.6883,-0.136,35.8262291,31.222397
,34.8431,-0.28705,32.192482,27.552762
,34.633,-0.33787,24.7712193,24.716781
,34.1963,-0.32962,27.0684681,22.0684681
,34.445,-0.51776,30.1888885,24.7987151
,,,24.1124922,24.7814922
,,,17.9735985,15.8778282
,,,29.6154175,31.186287
,,,19.8738117,22.9871896
,,,22.8110428,31.6735573
,,,25.3831978,29.7876385
,,,20.2139473,20.6527897
,,,21.3614979,20.3614979
,,,10.2175312,26.2872862
,,,22.3694763,25.9862453
,,,21.0827217,22.7652746
,,,12.7136602,12.7136602
,,,36.6833458,28.78627572
,,,16.1811638,18.8968926
,,,28.3718758,28.6757247
,,,25.3698616,27.9872681
,,,20.2672768,21.7891798
,,,22.6752752,22.2849062
,,,0.4146805,0.7881581
,,,23.4221497,20.8827872
,,,23.6123867,23.6123867
,,,10.7556686,10.5642622
,,,25.352726,14.7652742
,,,22.5919514,21.2264722
,,,19.7508106,20.992828
,,,29.3428097,29.3428097
,,,21.4241199,23.093833
,,,22.086887,26.5408688
,,,31.9223988,30.8923988
,,,4.9591715,5.1595917
,,,20.546381,20.381546
,,,24.6934929,14.4293492
,,,24.2780361,24.2780361
,,,11.1544456,21.1544456
,,,24.2988873,24.2988873
,,,39.6113853,29.6223853
,,,24.289875,14.289875
,,,33.2923622,31.2123622
,,,25.3210672,25.9610672
,,,32.7623359,30.5531559
,,,30.6280708,30.6280708
,,,13.4792519,10.4792519
,,,21.2433366,10.3820229
