FID,X,Y,S3 OLCI Chl-a (Reference),L8 Chl-a Estimates
1,34.6883,-0.136,53.8262291,50.672397
2,34.8431,-0.28705,32.192482,37.782982
3,34.6333,-0.33787,27.7712193,26.716781
4,34.1963,-0.32962,27.0684681,22.0684681
5,34.445,-0.51776,30.1888885,24.7987151
6,34.5773,-0.2749733,24.7814922,24.7814922
7,34.6762,-0.2664918,37.9735985,45.7815781
8,34.76276,-0.1754863,47.6154175,47.6154175
9,34.67268,-0.14808,19.8738117,22.9871896
10,34.23748,-0.1934752,22.8110428,32.6735573
11,34.3367,-0.1246985,44.3831978,39.7876385
12,34.22563,-0.2559218,43.2139473,40.6527897
13,34.7635,-0.128549,40.43614979,31.3614979
14,34.45276,-0.2816316,30.2175312,36.2872862
15,34.345289,-0.1504083,22.3694763,25.9862453
16,34.81456,-0.219185,21.0827217,22.7652746
17,34.3365,-0.2879617,22.3336602,32.7136602
18,34.34562,-0.23567384,36.6833458,28.78627572
19,34.52675,-0.26409568,36.1811638,38.8968926
20,34.5672,-0.27234,28.3718758,28.6757247
21,34.67734,-0.28058,25.3698616,27.9872681
22,34.452745,-0.28667,20.2672768,31.7891798
23,34.34366,-0.136,22.6752752,22.2849062
24,34.452567,-0.28705,48.4146805,44.7881581
25,34.6834,-0.33787,23.4221497,30.8827872
26,34.675372,-0.32962,23.6123867,23.6123867
27,34.34627,-0.51776,35.7556686,33.5642622
28,34.22376,-0.2749733,45.352726,44.7652742
29,34.16782,-0.2664918,22.5919514,21.2264722
30,34.56993,-0.1754863,19.7508106,25.992828
31,34.45237,-0.14808,29.3428097,29.3428097
32,34.4543,-0.1934752,41.4241199,51.4241199
33,34.675628,-0.1246985,26.5408688,26.5408688
34,34.782678,-0.2559218,32.8923988,32.8923988
35,34.8776235,-0.128549,45.1595917,45.1595917
36,34.4377,-0.2816316,41.381546,45.381546
37,34.56543,-0.1504083,34.6934929,34.6934929
38,34.6274,-0.219185,24.2780361,24.2780361
39,34.73321,-0.2879617,41.1544456,41.1544456
40,34.2806,-0.23567384,24.2988873,24.2988873
41,34.2291,-0.26409568,39.6113853,39.6113853
42,34.1776,-0.27234,44.289875,44.289875
43,34.11261,-0.28058,33.2923622,33.2923622
44,34.20746,-0.28667,25.9610672,25.9610672
45,34.30231,-0.136,30.5531559,34.5889883
46,34.39716,-0.28705,30.6280708,33.8893397
47,34.49201,-0.33787,40.4792519,32.4992882
48,34.58686,-0.32962,40.3820229,30.1380229
49,34.68171,-0.51776,51.8262291,49.672397
50,35.2256,-0.23033,36.192482,38.782982
51,34.6334,-0.136,27.7712193,26.716781
52,34.9901,-0.28705,27.0684681,22.0684681
53,34.6333,-0.33787,30.1888885,24.7987151
54,34.5963,-0.32962,24.7814922,24.7814922
55,34.9845,-0.51776,37.9735985,45.7815781
56,34.5773,-0.2749733,47.6154175,47.6154175
57,34.6762,-0.2664918,19.8738117,22.9871896
58,34.0926,-0.1754863,22.8110428,32.6735573
